#    seconds     rel_res
    0.241725     17284.1
    0.443188     750.465
     0.64391      400.47
    0.845299     267.981
     1.04631     201.717
     1.24573     162.649
     1.44589     135.546
     1.64525     116.175
     1.84561     102.035
     2.04721     90.6166
      2.2491       81.68
     2.45056     74.3733
     2.65227     68.2561
     2.85366     62.9867
     3.05475     58.5779
     3.25581     54.6856
     3.45662     51.3734
     3.65759     48.3525
     3.85885      45.701
     4.06092     43.3371
     4.26234     41.1806
     4.46291     39.2879
     4.66244     37.5225
     4.86317     35.8939
     5.06501     34.4417
     5.26567     33.0817
     5.46788     31.8314
     5.66821     30.6913
     5.87211     29.6118
     6.07374      28.598
     6.27578     27.6721
      6.4771     26.7992
     6.67852     25.9739
     6.88031     25.2133
     7.08088     24.4927
     7.28366     23.8051
     7.48528     23.1541
     7.68809     22.5479
     7.89872     21.9708
     8.09995     21.4183
     8.30118     20.9005
     8.50877      20.409
     8.71243      19.936
     8.91416     19.4803
     9.11592     19.0499
     9.31847      18.643
     9.52039      18.249
     9.72259     17.8718
     9.92405     17.5127
     10.1251       17.17
